date/time,type,order id,sku,description,quantity,marketplace,total
"Sep 1, 2022 1:00:14 AM PDT",Adjustment,112-0333445-2185842,811LM -B,Liftmaster 811LM Single Button Remote Control,1,amazon.com,-9.67
"Sep 1, 2022 1:00:14 AM PDT",Adjustment,112-0333445-2185842,811LM -B,Liftmaster 811LM Single Button Remote Control,1,amazon.com,20.55
"Sep 1, 2022 10:21:31 PM PDT",Adjustment,114-4415137-2428211,TH8321WF1001-x,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,-123.78
"Sep 1, 2022 1:00:26 PM PDT",Adjustment,114-0864698-9413011,TH9320WF5003 - b,"Honeywell TH9320WF5003 Wi-Fi 9000 Color Touch Screen Programmable Thermostat, 3.5 x 4.5 Inch, White, 'Requires C Wire""",4,amazon.com,531.89
"Sep 1, 2022 1:07:13 AM PDT",Adjustment,112-2663958-9542633,WSWM22-B1,"Sanus Adjustable Sonos Wall Mount for Sonos One, Play:1, & Play:3 - Tool Free Tilt & Swivel Adjustments for Best Audio - Pair (Black) - WSWM22-B1",1,amazon.com,-53.42
"Sep 1, 2022 1:08:01 PM PDT",Adjustment,114-9875279-1557058,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 1:08:02 PM PDT",Adjustment,114-9396886-8323417,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 1:08:05 PM PDT",Order,114-6861091-5978643,STHT71839,"Stanley STHT71839 Folding Metric and Sae Hex Keys, 2-Pack",1,amazon.com,12.27
"Sep 1, 2022 1:09:04 PM PDT",Order,113-7040498-9225001,L-BDGPRO2-WH,"Lutron Caseta L-BDGPRO2-WH - SmartBridge Pro Programmed Via Lutron App, White",1,amazon.com,105.37
"Sep 1, 2022 1:10:00 AM PDT",Order,114-3475990-6555466,C7089U1006,Honeywell C7089U1006 Outdoor Temperature Sensor,1,amazon.com,8.53
"Sep 1, 2022 1:11:59 PM PDT",Order,114-0749116-6245049,NP7-12,Yuasa NP7-12 12V/7Ah Sealed Lead Acid Battery with F1 Terminal,1,amazon.com,29.21
"Sep 1, 2022 1:14:54 AM PDT",Order,113-4592398-4297850,889LM,Liftmaster 889LM MyQ Control Panel (Replaces 888LM),1,amazon.com,46.37
"Sep 1, 2022 1:16:14 PM PDT",Order,112-7817829-6810613,DWST17818,DEWALT DW CLIPBOARD,1,amazon.com,22.62
"Sep 1, 2022 1:16:28 AM PDT",Order,111-9039362-4060215,amzn.gr.O2-811LM-uby4dg182b7cg,LiftMaster 811LM Encrypted DIP with Security+ 2.0 Technology Remote Control,1,amazon.com,14.96
"Sep 1, 2022 1:18:02 PM PDT",Order,112-3003134-0319461,MCW-S/A,"Aiphone MCW-S/A Desk Mount Stand for AX, GT, JF, JM, JO, and KB Series Systems",1,amazon.com,27.84
"Sep 1, 2022 1:19:22 PM PDT",Order,112-0327217-1376235,Coleman:2000036889,"Coleman Sundome 6-Person Dome Tent , Navy/Grey, 6 Person",1,amazon.com,108.64
"Sep 1, 2022 1:19:57 PM PDT",Order,111-5377706-8602611,STHT71839,"Stanley STHT71839 Folding Metric and Sae Hex Keys, 2-Pack",1,amazon.com,12.27
"Sep 1, 2022 1:20:52 AM PDT",Order,111-7733071-8997850,REM5000R1001,"Honeywell REM5000R1001 Portable Comfort Control, White",1,amazon.com,86.87
"Sep 1, 2022 1:22:15 PM PDT",Order,113-2884552-2308210,TH4110U2005/U,"Honeywell TH4110U2005/U T4 Pro Program Mable Thermostat, White",1,amazon.com,31.15
"Sep 1, 2022 1:23:27 PM PDT",Order,111-7628671-8481860,C7089U1006,Honeywell C7089U1006 Outdoor Temperature Sensor,1,amazon.com,8.51
"Sep 1, 2022 1:23:27 PM PDT",Order,111-7628671-8481860,TH8321WF1001,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,116.98
"Sep 1, 2022 1:25:06 AM PDT",Order,113-1495067-9245069,TH1100DV1000,Honeywell TH1100DV1000 Pro-Digital 2-Wire Heat Only,1,amazon.com,24.68
"Sep 1, 2022 1:27:44 PM PDT",Order,113-8186460-3189812,RCHT9610WFSW2003,"Honeywell Home T9 WiFi Smart Thermostat with 1 Smart Room Sensor, Touchscreen Display, Alexa and Google Assist",1,amazon.com,146.04
"Sep 1, 2022 1:29:13 PM PDT",Order,111-0052702-2193801,NP7-12,Yuasa NP7-12 12V/7Ah Sealed Lead Acid Battery with F1 Terminal,1,amazon.com,28.48
"Sep 1, 2022 1:29:15 PM PDT",Order,112-8663255-9889839,LUT-MLC,Lutron LUT-MLC,2,amazon.com,11.97
"Sep 1, 2022 1:29:15 PM PDT",Order,112-8663255-9889839,LUT-MLC,Lutron LUT-MLC,1,amazon.com,10.21
"Sep 1, 2022 1:30:57 PM PDT",Order,111-4930745-9544252,221-413-2pk (2x50=100),Wago 221-413 LEVER-NUTS 3 Conductor Compact Connectors 100 PK,1,amazon.com,27.04
