sku,qb_sku,multiplier
2GIG-FT1-345,2GIG:2GIG-FT1-345,1
2GIG-GB1-345,2GIG:2GIG-GB1-345,1
TP5851-20,3M:TP5851-20,1
DAK-2S,Aiphone:DAK-2S,1
GT-NSP-L,Aiphone:GT-NSP-L,1
GT-SW,Aiphone:GT-SW,1
MCW-S/A,Aiphone:MCW-S/A,1
MCW-S/A-NE,Aiphone:MCW-S/A,1
RY-PA,Aiphone:RY-PA,1
ADC-S2000-T-RB,AlARM.COM:ADC-S2000-T-RB,1
ADC-T2000,AlARM.COM:ADC-T2000,1
ADC-T3000,AlARM.COM:ADC-T3000,1
ADC-V622,AlARM.COM:ADC-V622,1
ADC-V723,AlARM.COM:ADC-V723,1
ADC-VC826,AlARM.COM:ADC-VC826,1
ADC-VDB770,AlARM.COM:ADC-VDB770,1
LA-ADCVC726,AlARM.COM:LA-ADCVC726,1
LA-ADCVC836,AlARM.COM:LA-ADCVC836,1
2020130,Amesco/Potter:2020130,1
QDC-2,Amesco/Potter:QDC-2,1
G5BLK,APC:G5BLK,1
E3-8052,APRILAIR:8052,1
E3-8444,APRILAIR:E3-8444,1
E3-8463,APRILAIR:E3-8463,1
E3-8466,APRILAIR:E3-8466,1
ARG-2001561-4PK,ARGO:ARG-2001561,4
ARG-2001561,ARGO:ARG-2001561,1
29-0480-M,assa abloy:29-0480-M,1
AT10,Atlas:AT10,1
AMP100VS,Audiosource:AMP100VS,1
ATH-M20X,AUDIO-TECHNICA:ATH-M20X,1
ATH-M70X,AUDIO-TECHNICA:ATH-M70X,1
AUG-AK01-M01-G01-CORRECTED,August:AUG-AK01-M01-G01,1
SL03-M03-G03,August:SL03-M03-G03,1
SR-2400,Awid:SR-2400,1
F2CU012BT04-PNK,belkin:F2CU012BT04-PNK,1
75-530,black+decker:75-530,1
T725,Bogen Communcations:T725,1
ND76,bosch audio:ND76-X,1
MR632UAB,BOSS AUDIO:MR632UAB,1
CM-120W-V2,camden:CM-120W-V2,1
B121ADJ,carlon:B121ADJ,1
AEQ110W-1BV,casio:AEQ110W-1BV,1
DW-9052-1VCF,casio:DW-9052-1VCF,1
DW-9052-1VCG,casio:DW-9052-1VCG,1
FX-CG500-L-IH,casio:FX-CG500-L-IH,1
G100-1BV,casio:G100-1BV,1
G100-1BV-B,casio:G100-1BV,1
Coleman:2000036889,Coleman:2000036889,1
3210-08-1-E,cooper-atkins:3210-08-1-E,1
NCDI1000VM,Crown:NCDI1000VM,1
OR1000LCDRM1U,CyberPower:OR1000LCDRM1U,1
A21CG02,Dahua Technology:A211K02,1
A51BJ02,Dahua Technology:A51BJ02,1
DW1623,DEWALT:DW1623,1
DW2024B6,DEWALT:DW2024B6,1
DW4301,DEWALT:DW4301,1
DWDA15PP,DEWALT:DWDA15PP,1
DWE7402DI,DEWALT:DWE7402DI,1
DWHT10035L-2PK,DEWALT:DWHT10035L,2
DWHT10035L,DEWALT:DWHT10035L,1
DWHTGR50,DEWALT:DWHTGR50,1
DWMT81096,DEWALT:DWMT81096,1
DWR16G1M,DEWALT:DWR16G1M,1
DWST08350,DEWALT:DWST08350,1
DWST17804,DEWALT:DWST17804,1
DWST17818,DEWALT:DWST17818,1
FMHT33316S,DEWALT:FMHT33316S,1
DWC-D3263WTIR,Digital Watchdog:DWC-D3263WTIR,1
909SMOW,Dormakaba Usa In:909SMOW,1
K-PROX3,Dormakaba Usa In:K-PROX3,1
DS18:NF1,DS18:NF1,1
13763PP-2PK,DYMO:13763PP,2
EB-DWSHM2PK-01,Ecobee Inc.0:EB-DWSHM2PK-01,1
EB-RSHM2PK-01,Ecobee Inc.0:EB-RSHM2PK-01,1
SCDGM66,Escali:SCDGM66,1
SCDGM66-b,Escali:SCDGM66,1
02G-P3-3733-KR,EVGA:02G-P3-3733-KR,1
100-BR-0600-K1,EVGA:100-BR-0600-K1,1
220-G6-0850-X1,EVGA:220-G6-0850-X1,1
220-GA-0750-X1,EVGA:220-GA-0750-X1,1
220-GA-0850-X1,EVGA:220-GA-0850-X1,1
BG-12,FIRE-LITE:BG-12,1
10055503,FLUKE:10055503,1
26200900,FLUKE:26200900,1
26500090 (MODEL #TS90),FLUKE:26500090 (MODEL #TS90),1
RIBU1C-3pack,Functional Devices:RIBU1C,3
RIBU1C-2pack,Functional Devices:RIBU1C,2
RIBU1C,Functional Devices:RIBU1C,1
ELITE-15 DM i,Furman:ELITE-15 DM i,1
M-8LX,Furman:M-8LX,1
M-8S,Furman:M-8S,1
M-8X2,Furman:M-8X2-X,1
MIW-SURGE-1G,Furman:MIW-SURGE-1G,1
PL-8C,Furman:PL-8C-X,1
PL-PLUS DMC,Furman:PL-PLUS DMC,1
PST-2+6,Furman:PST-2+6,1
PST-8,Furman:PST-8,1
#NAME?,Furman:PST-8,1
